formula,activity,shape,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
GO-COOH,peroxidase,flakes,,,,,,0.016,,TMB+H2O2,6e-06,0.0008,,0.029,6.5,35.0,,,15670
,,,,,,,,,,,,,,,,,,,15671
DNA50,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15672
DNA50/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15673
Control1,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15674
Control1/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15675
Control2,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15676
Control2/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15677
Control3,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15678
Control3/hemin,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,15679
,peroxidase,,,,,,,,,TMB+H2O2,0.0,0.0225,0.5,,7.4,37.0,,,15680
,peroxidase,,,,,,,,,H2O2+TMB,0.0,0.0225,5.0,,7.4,37.0,,,15681
Cp,glutathione peroxidase,,,,,,,,,H2O2 + GSH,0.5,500.0,0.5,,7.0,37.0,,,15682
Cp,glutathione peroxidase,,,,,,,,,LOOH + GSH,0.5,500.0,0.18,,7.0,37.0,,,15683
Mn-Co-TiO2,peroxidase,rods,,,,,,0.06,0.001,TMB+H2O2,0.0,0.5,100.0,0.01,3,30.0,,,15684
Mn-Co-TiO2,peroxidase,rods,,,,,,10.5,0.002,H2O2+TMB,0.0,120.0,0.3,0.01,3,30.0,,,15685
Pt,peroxidase,spherical,3.4,3.4,3.4,Poly[(2-methacryloyloxyethyl)trimethyl ammonium chloride],Cetyltrimethylammonium bromide,,,TMB+H2O2,0.005,0.5,0.3,0.05,6.0,25.0,27.5,,15686
Pt,peroxidase,spherical,3.4,3.4,3.4,Poly[(2-methacryloyloxyethyl)trimethyl ammonium chloride],Cetyltrimethylammonium bromide,,,H2O2+TMB,0.005,0.5,0.3,0.05,6.0,25.0,27.5,,15687
,peroxidase,,,,,,,1.0,1.0,H2O2 + t-BuOOH,,,,,,30.0,,,15688
HRP-A,peroxidase,,,,,,,0.02,,H2O2+TMB,0.02,1.0,0.17,,7.0,25.0,,,15689
HRP-A,peroxidase,,,,,,,0.02,,TMB+H2O2,0.02,1.0,0.17,,9.0,25.0,,,15690
CePO4-CeO2,peroxidase,rods,350.0,20.0,,,,0.236,,TMB+H2O2,0.0,1.0,100.0,0.1,4.0,25.0,,57.0,15691
CePO4-CeO2,peroxidase,rods,350.0,20.0,,,,4.766,,H2O2+TMB,0.0,1.0,0.8,0.1,4.0,25.0,,57.0,15692
CePO4-CeO2,peroxidase,rods,350.0,20.0,,,,0.314,,TMB+H2O2,0.0,1.0,100.0,0.1,4.0,25.0,,63.0,15693
CePO4-CeO2,peroxidase,rods,350.0,20.0,,,,2.5118,,H2O2+TMB,0.0,1.0,0.8,0.1,4.0,25.0,,63.0,15694
CePO4,peroxidase,rods,350.0,20.0,,,,0.437,,TMB+H2O2,0.0,1.0,100.0,0.1,4.0,25.0,,,15695
CePO4,peroxidase,rods,350.0,20.0,,,,1.977,,H2O2+TMB,0.0,1.0,0.8,0.1,4.0,25.0,,,15696
MIL-100,peroxidase,spherical,60.0,60.0,60.0,,,,,TMB+H2O2,,,,,7.4,37.0,-33.0,538.2,15697
MIL-100,peroxidase,spherical,60.0,60.0,60.0,,,,,TMB+H2O2,,,,,6.8,37.0,-33.0,538.2,15698
MIL-100,peroxidase,spherical,60.0,60.0,60.0,,,,,TMB+H2O2,,,,,5.5,37.0,-33.0,538.2,15699
AuNPs doped COF,reductase,spherical,250.0,250.0,250.0,,,0.0927,,4-NTP + NaBH4,,,,,5,40.0,,901.5,15700
,glutathione peroxidase,,,,,,,,,H2O2,,,,,7,37.0,,,15701
,glutathione peroxidase,,,,,,,,,tBHP,,,,,7,37.0,,,15702
AuNPs-GO,peroxidase,spherical,41.9,41.9,41.9,,,,,TMB+H2O2,,,700.0,,6.37,37.0,,,15703
AuNPs-GO,peroxidase,spherical,41.9,41.9,41.9,,,,,H2O2+TMB,,,0.22,,6.37,37.0,,,15704
,peroxidase,,,,,,,1.0,,TMB+H2O2,0.01,1.0,,,7.0,25.0,,,15705
,peroxidase,,,,,,,1.0,,H2O2+TMB,0.01,1.0,,,7.0,25.0,,,15706
FeIII 4 [FeII(CN)6]3·xH2O,peroxidase,cubic,34.0,34.0,34.0,,,,,H2O2,0.0,0.25,,,,37.0,-38.0,,15707
FeIII 4 [FeII(CN)6]3·xH2O,superoxide dismutase,cubic,34.0,34.0,34.0,,,,,O2-,0.0,0.25,,,,37.0,-38.0,,15708
,glutathione peroxidase,,,,,,,,,,,,,,,,,,15709
,peroxidase,,,,,,,,,TMB+H2O2,,,10.0,,,,,,15710
,peroxidase,,,,,,,,,H2O2+TMB,,,10.0,,,,,,15711
CdCl2,peroxidase,,,,,,,,,H2O2+guaiacol,,,7.2,,5.8,27.0,,,15712
,peroxidase,,,,,,,0.04,0.001,H2O2+ferulic acid,0.01,0.1,0.5,,6,25.0,,,15713
,peroxidase,,,,,,,0.04,0.001,ferulic acid+H2O2,0.01,0.1,0.5,,6,25.0,,,15714
G 2-TPO,peroxidase,,,,,,,23.0,,Iodide+H2O2,1.0,20.0,,,7.4,20.0,,,15715
G 2-TPO,peroxidase,,,,,,,,,H2O2+Iodide,0.01,10.0,,,7.2,20.0,,,15716
P-TPO,peroxidase,,,,,,,3.7,,Iodide+H2O2,1.0,20.0,,,7.4,20.0,,,15717
P-TPO,peroxidase,,,,,,,,,H2O2+Iodide,0.01,10.0,,,7.2,20.0,,,15718
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,poly(ethylene glycol),,0.05,0.001,TMB+H2O2,0.01,0.5,0.05,0.075,4.5,25.0,-30.0,,15719
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,poly(ethylene glycol),,0.05,0.001,H2O2+TMB,0.01,0.5,,0.075,4.5,25.0,-30.0,,15720
,peroxidase,,,,,,Tween 20,,,,,,,,6.5,4.0,,,15721
Zn-TCPP(Fe),peroxidase,sheet,,,1.25,Poly(N-Vinylpyrrolidone),,0.01,0.001,TMB+H2O2,0.01,0.1,1.0,0.005,5.0,25.0,-15.3,,15722
Zn-TCPP(Fe),peroxidase,sheet,,,1.25,Poly(N-Vinylpyrrolidone),,0.01,0.001,TMB+H2O2,0.01,0.1,1.0,0.005,5.0,25.0,15.1,,15723
Zn-TCPP(Fe),peroxidase,sheet,,,1.25,Poly(N-Vinylpyrrolidone),,0.01,0.001,Ampliflu Red+H2O2,0.01,0.1,1.0,0.005,5.0,25.0,15.1,,15724
Zn-TCPP(Fe),peroxidase,sheet,,,1.25,Poly(N-Vinylpyrrolidone),,0.01,0.001,Ampliflu Red+H2O2,0.01,0.1,100.0,0.612,5.0,37.0,15.1,,15725
Zn-TCPP(Fe),peroxidase,sheet,,,1.25,Poly(N-Vinylpyrrolidone),,0.01,0.001,Ampliflu Red+H2O2,0.01,0.1,100.0,0.612,5.0,37.0,15.1,,15726
PtNPs/rGO,peroxidase,spherical,4.5,4.5,4.5,,,0.0806,0.0004649999999999,TMB+H2O2,0.01,0.1,20.0,5e-05,5,25.0,,,15727
PtNPs/rGO,peroxidase,spherical,4.5,4.5,4.5,,,935.0,0.00378,H2O2+TMB,15.0,800.0,0.83,5e-05,5,25.0,,,15728
,,,,,,,,,,,,,,,,,,,15729
ficin@MOF,peroxidase,plates,520.0,520.0,520.0,,,0.06,1.7199999999999998e-05,TMB+H2O2,0.1,0.6,0.6,0.0001,4.0,30.0,,32.74,15730
ficin@MOF,peroxidase,plates,520.0,520.0,520.0,,,0.28,2.156e-05,H2O2+TMB,0.1,0.6,0.6,0.0001,4.0,30.0,,32.74,15731
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.5,37.0,,,15732
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.5,37.0,,,15733
AuNCs,peroxidase,,,,,,,0.073,,TMB+H2O2,,,10000.0,,3.0,25.0,,,15734
AuNCs,peroxidase,,,,,,,0.046,,H2O2+TMB,,,25.0,,3.0,25.0,,,15735
,peroxidase,,,,,,,,,guaiacol + H2O2,,,100.0,,6.0,,,,15736
,,,,,,,,,,,,,,,,,,,15737
Au@Pt,peroxidase,branched,70.0,70.0,70.0,,Ascorbic acid,,,TMB+H2O2,,,0.00763,,4.0,40.0,,,15738
Au@Pt,peroxidase,branched,70.0,70.0,70.0,,Ascorbic acid,,,H2O2+TMB,,,0.921,,4.0,40.0,,,15739
,,,,,,,,,,,,,,,,,,,15740
,peroxidase,,,,,,,,,guaiacol+H2O2,,,0.9,,7.4,37.0,,,15741
,oxidase,,,,,,,,,BSA+KI,,,0.0001,,6.8,37.0,,,15742
,oxidase,,,,,,,,,SCN+glucose,,,0.0001,,7.4,37.0,,,15743
,catalase,,,,,,,,,H2O2,,,0.059,,7.0,,,,15744
,cyclase,,,,,,,,,ATP,,,0.005,,7.4,37.0,,,15745
,deiodinase,,,,,,,,,DIT,,,1e-06,,7.4,37.0,,,15746
,protease,,,,,,,,,thyroglobulin,,,,,3.6,37.0,,,15747
,peroxidase,,,,,,Tween 80,,,Methylene Blue+H2O2,,,,,4.0,8.0,,,15748
,peroxidase,,,,,,Tween 80,,,Veratryl Alcohol+H2O2,,,,,3.0,,,,15749
,peroxidase,,,,,,Tween 80,,,Methylene Blue+H2O2,,,,,4.0,,,,15750
,peroxidase,,,,,,Tween 80,,,Veratryl Alcohol+H2O2,,,,,4.5,38.0,,,15751
,peroxidase,,,,,,Tween 80,,,Methylene Blue+H2O2,,,,,4.5,38.0,,,15752
Hf18O10(OH)26(SO4)13(H2O)33,protease,,,,,,,,,HHM,,,,,7.4,60.0,,,15753
Fe/N-C,peroxidase,cubic,,,,,,0.001,,H2O2+TMB,1e-06,0.0003,1.0,,7.4,25.0,,,15754
,peroxidase,,,,,,,,,H2O2+pyrogallol,,,8.0,,7,25.0,,,15755
,,,,,,,,,,,,,,,,,,,15756
ficin@PCN-333(Fe),peroxidase,octahedral,4030.000000000001,,,,,0.08,,TMB+H2O2,0.1,,0.4,2e-05,5.5,30.0,,1434.3,15757
ficin@PCN-333(Fe),peroxidase,octahedral,4030.000000000001,,,,,0.25,,H2O2+TMB,0.1,,0.1,2e-05,5.5,30.0,,1434.3,15758
,peroxidase,,,,,,,,,H2O2+TMB,,,,,,37.0,,,15759
,peroxidase,,,,,,,,,TMB+H2O2,,,,,,37.0,,,15760
,peroxidase,,,,,,,,,H2O2 + o-dianisidine dihydrochloride,,,,,6.0,25.0,,,15761
,peroxidase,,,,,,,,,H2O2+guaiacol,,,88.0,,7,25.0,,,15762
NACu-Cys,superoxide dismutase,spherical,85.0,85.0,85.0,BSA,,0.92,1700.0,pyrogallol,,,,,8.2,27.0,,,15763
Cu-Cys,superoxide dismutase,spherical,425.0,425.0,425.0,,,0.6,1200.0,pyrogallol,,,,,8.2,27.0,,,15764
,,,,,,,,,,,,,,,,,,,15765
MIL-53(Fe),peroxidase,octahedral,550.0,550.0,550.0,,,0.03,9.6e-06,H2O2+TMB,0.02,0.05,0.05,0.015,4.0,40.0,,,15766
MIL-53(Fe),peroxidase,octahedral,550.0,550.0,550.0,,,0.28,4.4800000000000005e-05,TMB+H2O2,0.02,0.05,0.02,0.015,4.0,40.0,,,15767
PtCuCo,peroxidase,irregular,,,,,,,,H2O2+Luminol,,,,,9.5,37.0,,,15768
,glutathione peroxidase,,,,,,,,,tert-butyl hydroperoxide,,,,,,25.0,,,15769
,,,,,,,,,,,,,,,,,,,15770
,peroxidase,,,,,,,,,H2O2+TMB,,,,,,24.0,,,15771
,peroxidase,,,,,,,,,TMB+H2O2,,,,,,24.0,,,15772
,peroxidase,,,,,,,,,catechin + H2O2,,,,,6.8,25.0,,,15773
,peroxidase,,,,,,,,,guaiacol + H2O2,,,,,6.8,25.0,,,15774
,peroxidase,,,,,,,,,TMB+H2O2,,,1.25,,7,25.0,,,15775
,catalase,,,,,,,,,H2O2,,,,,7,25.0,,,15776
Cu-CDs,peroxidase,,,,,,,0.588,,OPD + H2O2,0.125,1.25,0.625,0.05,7.0,37.0,,,15777
Cu-CDs,peroxidase,,,,,,,0.644,,OPD + H2O2,0.125,1.25,0.625,0.05,7.0,37.0,,,15778
Cu-CDs,peroxidase,,,,,,,0.548,,OPD + H2O2,0.125,1.25,0.625,0.05,7.0,37.0,,,15779
,,,,,,,,,,,,,,,,,,,15780
,catalase,,,,,,,20.0,,H2O2,,,,,7.0,30.0,,,15781
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,0.836,4.72e-05,TMB+H2O2,0.31,9.31,835.0,,4,40.0,,,15782
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,23.466,0.0008619999999999,H2O2+TMB,0.0084,0.00129,3.1,,4,40.0,,,15783
Fe3O4,peroxidase,octahedral,75.0,75.0,75.0,poly(ethylene glycol),,0.16,0.0053333333333333,5-HIAA+H2O2,10.0,1000.0,1.0,,7,25.0,,,15784
,oxidase,,,,,,,,,NADH,,,,,7.8,22.0,,,15785
,superoxide dismutase,,,,,,,,,,,,,,7.0,37.0,,,15786
,catalase,,,,,,,,,H2O2,,,,,7.0,30.0,,,15787
,glutathione peroxidase,,,,,,,,,,,,,,7.0,37.0,,,15788
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),,,,guaiacol + H2O2,,,1.0,,6.5,22.0,,,15789
VcDyP,peroxidase,,,,,,,0.03,,H2O2+TMB,0.01,0.05,0.2,,4.5,25.0,,,15790
VcDyP,peroxidase,,,,,,,0.066,,H2O2+TMB,0.01,0.05,0.2,,7.0,25.0,,,15791
D138V,peroxidase,,,,,,,0.0029,,H2O2+TMB,0.01,0.05,0.2,,4.0,25.0,,,15792
D138V,peroxidase,,,,,,,0.00053,,H2O2+TMB,0.01,0.05,0.2,,6.5,25.0,,,15793
C-dots,oxidase,spherical,2.0,2.0,2.0,poly(vinyl alcohol),,0.092,1.36,TMB,,,,,,25.0,,,15794
C-dots,oxidase,spherical,2.0,2.0,2.0,poly(vinyl alcohol),,0.092,1.36,OPD,,,,,,25.0,,,15795
,glutathione peroxidase,,,,,,,0.25,,H2O2+TMB,,,0.25,,,,,,15796
,glutathione peroxidase,,,,,,,1.5,,H2O2+TMB,,,1.5,,,,,,15797
,glutathione peroxidase,,,,,,,,,GSH+H2O2,,,12.0,,7.0,37.0,,,15798
,peroxidase,,,,,,,,,TMB+H2O2,,,,,7.4,37.0,,,15799
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.4,37.0,,,15800
Fe3O4,peroxidase,spherical,8.0,8.0,8.0,,,,,TMB+H2O2,0.2,200.0,4.0,27.5,4.0,50.0,,,15801
Fe3O4,peroxidase,spherical,8.0,8.0,8.0,,,,,H2O2+TMB,2.5,2.5,4.0,27.5,4.0,50.0,,,15802
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,,,7.5,22.0,,,15803
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,,,7.5,22.0,,,15804
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,,,7.5,22.0,,,15805
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,,,7.5,22.0,,,15806
,peroxidase,,,,,,,,,L-tryptophan,,,,,,,,,15807
,peroxidase,,,,,,,,,H2O2,,,,,,37.0,,,15808
,peroxidase,,,,,,,,,H2O2,,,,,,37.0,,,15809
,peroxidase,,,,,,,,,H2O2,,,,,,37.0,,,15810
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6,,,,15811
,peroxidase,,,,,,,,,H2O2,,,,,7,,,,15812
,peroxidase,,,,,,,,,H2O2+guaiacol,,,,,6.0,22.0,,,15813
Au,peroxidase,spherical,5.9,5.9,5.9,,,0.022,,TMB+H2O2,0.025,0.25,0.5,,4,30.0,,,15814
Au,peroxidase,spherical,5.9,5.9,5.9,,,0.215,,H2O2+TMB,0.75,3.0,0.25,,4,30.0,,,15815
V2O5,glutathione peroxidase,nanofiber,,100.0,,,,0.11,0.0071666666666666,H2O2+GSH,0.0,480.0,2.0,0.02,7.4,25.0,,,15816
V2O5,glutathione peroxidase,nanofiber,,100.0,,,,2.22,0.0138333333333333,GSH+H2O2,0.0,6.0,240.0,0.02,7.4,25.0,,,15817
,peroxidase,,,,,,,,,,,,,,,0.0,,,15818
,peroxidase,,,,,,,,,,,,,,,2.0,,,15819
,peroxidase,,,,,,,,,,,,,,,5.0,,,15820
,peroxidase,,,,,,,,,,,,,,,20.0,,,15821
,peroxidase,,,,,,,,,TMB+H2O2,,,5.0,,7.0,20.0,,,15822
,peroxidase,,,,,,,,,H2O2+TMB,,,25.0,,7.0,20.0,,,15823
Fe–MIL–88NH2,peroxidase,octahedral,200.0,200.0,200.0,,,,,H2O2+Luminol,0.0001,0.01,0.05,0.1,11.5,,,,15824
Cu-MOXs,peroxidase,nanofiber,50.0,,,,,,,TMB+H2O2,0.0005,0.02,0.2,22.5,4.4,55.0,,34.16,15825
C-dots/Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,3.5,0.00014,H2O2+TMB,1e-05,1.0,0.8300000000000001,0.015,4.0,25.0,,,15826
Cys-C7 + hemin,peroxidase,,,,,,,0.07,,AO7 + H2O2,0.005,0.14,0.48,,7.0,25.0,,,15827
Cys-C7 + hemin,peroxidase,,,,,,,0.1,,AO7 + H2O2,0.01,0.14,0.48,,7.0,25.0,,,15828
Cys-C7 + hemin,peroxidase,,,,,,,0.4,,AO7 + H2O2,0.05,0.14,0.48,,7.0,25.0,,,15829
Cys-C7 + hemin,peroxidase,,,,,,,1.4,,AO7 + H2O2,0.14,0.14,0.48,,7.0,25.0,,,15830
Cys-C7 + hemin,peroxidase,,,,,,,45.7,,H2O2 + AO7,1.34,23.8,0.005,,7.0,25.0,,,15831
Cys-C7 + hemin,peroxidase,,,,,,,105.0,,H2O2 + AO7,3.33,23.8,0.005,,7.0,25.0,,,15832
Cys-C7 + hemin,peroxidase,,,,,,,147.4,,H2O2 + AO7,4.8,23.8,0.005,,7.0,25.0,,,15833
Cys-C7 + hemin,peroxidase,,,,,,,615.9,,H2O2 + AO7,23.8,23.8,0.005,,7.0,25.0,,,15834
,peroxidase,,,,,,,0.18,,H2O2+TMB,,,0.27,,7.6,25.0,,,15835
,peroxidase,,,,,,,0.18,,H2O2+TMB,,,0.27,,7.6,25.0,,,15836
,peroxidase,,,,,,,0.18,,H2O2+TMB,,,0.27,,7.6,25.0,,,15837
,peroxidase,,,,,,,0.18,,H2O2+TMB,,,0.27,,7.6,25.0,,,15838
,peroxidase,,,,,,,0.18,,H2O2+TMB,,,0.27,,7.6,25.0,,,15839
,peroxidase,,,,,,,0.18,,H2O2+TMB,,,0.27,,7.6,25.0,,,15840
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,0.12,,,,,,15841
,glutathione peroxidase,,,,,,,,,TMB+H2O2,,,0.12,,,,,,15842
I. paraguariensis,peroxidase,,,,,,,,,H2O2+DAB,,,0.5,,,25.0,,,15843
I. paraguariensis,peroxidase,,,,,,,,,DAB+H2O2,,,0.5,,,25.0,,,15844
Chlorogenic acid,peroxidase,,,,,,,,,DAB+H2O2,,,0.5,,,25.0,,,15845
Caffeic acid,peroxidase,,,,,,,,,DAB+H2O2,,,0.5,,,25.0,,,15846
Caffeine,peroxidase,,,,,,,,,DAB+H2O2,,,0.5,,,25.0,,,15847
,peroxidase,,,,,poly(ethylene glycol),,,,,,,,,,4.0,,,15848
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.2,25.0,,,15849
,peroxidase,,,,,,,,,TMB+H2O2,,,,,7.2,25.0,,,15850
,peroxidase,,,,,,,,,17 beta estradiol + DPNH + H2O2,,,,,7.0,4.0,,,15851
,peroxidase,,,,,,,,,17 beta estradiol + DPNH + H2O2,,,,,7.0,,,,15852
,superoxide dismutase,,,,,,,,,,,,,,,37.0,,,15853
,glutathione peroxidase,,,,,,,,,,,,,,,37.0,,,15854
,glutathione peroxidase,,,,,,,,,,,,,,8,21.0,,,15855
,glutathione peroxidase,,,,,,,,,H2O2 + GSH,,,0.25,,7.0,25.0,,,15856
C3N4,peroxidase,sheet,50.0,50.0,50.0,,,0.03,0.0001057,H2O2+oPD,0.0,4.0,4.0,0.0004,4,37.0,,,15857
C3N4,peroxidase,sheet,50.0,50.0,50.0,,,1.46,1.08e-05,oPD+H2O2,0.0,4.0,8.0,0.0004,4,37.0,,,15858
C3N4,peroxidase,sheet,50.0,50.0,50.0,,,0.03,0.000106,H2O2+oPD,0.0,4.0,4.0,0.0004,4,37.0,,,15859
C3N4,peroxidase,sheet,50.0,50.0,50.0,,,0.73,2.35e-05,oPD+H2O2,0.0,4.0,8.0,0.0004,4,37.0,,,15860
Fe3C,peroxidase,nanofiber,,225.0,,poly(acrylonitrile),,1.78,0.0020325,TMB+H2O2,0.0,0.1,10.0,,4.0,27.5,,,15861
Fe3C,peroxidase,nanofiber,,225.0,,poly(acrylonitrile),,5.65,0.0002128,H2O2+TMB,0.0,10.0,0.1,,4.0,27.5,,,15862
MnO2,peroxidase,flower,,,,BSA,,0.01,0.0001,TMB+H2O2,0.001,0.01,0.01,,~7,25.0,,,15863
MnO2,peroxidase,flower,,,,BSA,,0.01,0.0001,H2O2+TMB,0.001,0.01,0.01,,~7,25.0,,,15864
Fe3O4,peroxidase,spherical,13.0,13.0,13.0,,,,,AUR+H2O2,0.0,0.002,10.0,1.0,7.0,37.0,,,15865
Fe3O4,peroxidase,spherical,13.0,13.0,13.0,,,,,H2O2+AUR,1.0,1.0,0.005,1.0,7.0,37.0,,,15866
Fe3O4,peroxidase,spherical,13.0,13.0,13.0,,,,,AUR+H2O2,0.0,0.0004,10.0,1.0,7.0,37.0,,,15867
Fe3O4,peroxidase,spherical,13.0,13.0,13.0,,,,,AUR+H2O2,0.0,0.001,10.0,1.0,7.0,37.0,,,15868
Fe3O4,peroxidase,spherical,13.0,13.0,13.0,,,,,AUR+H2O2,0.0001,0.001,10.0,1.0,7.0,37.0,,,15869
Fe3O4,peroxidase,spherical,13.0,13.0,13.0,,,,,AUR+H2O2,6e-05,0.001,10.0,1.0,7.0,37.0,,,15870
HRP,peroxidase,,,,,,,,,TMB+H2O2,,,,,5.4,37.0,,,15871
HRP,peroxidase,,,,,,,,,H2O2+TMB,,,,,5.4,37.0,,,15872
Neutrophils,peroxidase,,,,,,,,,TMB+H2O2,,,,,5.4,37.0,,,15873
Neutrophils,peroxidase,,,,,,,,,H2O2+TMB,,,,,5.4,37.0,,,15874
Fe3O4,peroxidase,cubic,7.2,7.2,7.2,,,0.091,5.18e-05,TMB+H2O2,1e-05,1000.0,10.0,,4.0,40.0,,,15875
Fe3O4,peroxidase,cubic,7.2,7.2,7.2,,,0.01957,1.26e-05,H2O2+TMB,0.001,0.01,0.8160000000000001,,4.0,40.0,,,15876
MIL-101(Fe),peroxidase,octahedral,500.0,,,,,0.043,0.0005137999999999,H2O2+TMB,0.0001,0.13,0.8,0.02,4.0,55.0,,2702.9,15877
MIL-101(Fe),peroxidase,octahedral,500.0,,,,,0.585,0.0010083,TMB+H2O2,0.0001,0.13,0.8,0.02,4.0,55.0,,2702.9,15878
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.2,37.0,,,15879
,peroxidase,,,,,,,,,TMB+H2O2,,,0.33,,7.2,25.0,,,15880
,peroxidase,,,,,,,,,H2O2+TMB,,,0.7,,,37.0,,,15881
Rh,peroxidase,cubic,10.0,,,Poly(N-Vinylpyrrolidone),,3.2370000000000003e-05,0.00010435,TMB+H2O2,2.5,25.0,5.0,0.5,4.5,25.0,-19.8,,15882
Rh,peroxidase,cubic,10.0,,,Poly(N-Vinylpyrrolidone),,0.00015422,7.629e-05,TMB+H2O2,2.5,25.0,5.0,0.5,4.5,25.0,-19.8,,15883
Rh,peroxidase,cubic,10.0,,,Poly(N-Vinylpyrrolidone),,4.322e-05,0.00012915,TMB+H2O2,2.5,25.0,5.0,0.5,4.5,25.0,-19.8,,15884
,glutathione peroxidase,,,,,,,,,H2O2+GSH,,,0.25,,,,,,15885
,glutathione peroxidase,,,,,,,,,GSH+H2O2,,,0.25,,,,,,15886
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),,,,H2O2+4-aminoantipyrine,,,0.43,,7,25.0,,,15887
,,,,,,,,,,,,,,,,,,,15888
,peroxidase,,,,,,,,,pyrogallol + H2O2,,,147.0,,6,20.0,,,15889
,glutathione peroxidase,,,,,,,,,,,,,,,25.0,,,15890
PAAm-b-PNIPAAm-Te,glutathione peroxidase,spherical,90.0,90.0,90.0,poly(acryl amide),,0.29,,TNB + CUOOH,0.0625,5.0,0.15,,7.0,34.0,,,15891
PAAm-b-PNIPAAm-Te,glutathione peroxidase,spherical,90.0,90.0,90.0,poly(acryl amide),,,108.83333333333331,TNB + CUOOH,0.0625,5.0,0.15,,7.0,34.0,,,15892
PAAm-b-PNIPAAm-Te,glutathione peroxidase,spherical,90.0,90.0,90.0,poly(acryl amide),,,235.66666666666663,NBT + CUOOH,0.0625,5.0,0.15,,7.0,34.0,,,15893
PAAm-Te-b-PNIPAAm,glutathione peroxidase,spherical,90.0,90.0,90.0,poly(acryl amide),,,24.666666666666668,TNB + CUOOH,0.0625,5.0,0.15,,7.0,34.0,,,15894
PAAm-Te-b-PNIPAAm,glutathione peroxidase,spherical,90.0,90.0,90.0,poly(acryl amide),,,35.166666666666664,NBT + CUOOH,0.0625,5.0,0.15,,7.0,34.0,,,15895
,catalase,,,,,,,,,H2O2,,,,,7.4,,,,15896
,glutathione peroxidase,,,,,,,,,H2O2,,,,,7.4,,,,15897
3-CI-IPC,,,,,,,,,,,,,,,,,,,15898
IPC,,,,,,,,,,,,,,,,,,,15899
"2,4-D ethyl ester",,,,,,,,,,,,,,,,,,,15900
a-Naphthalenacetic acid,,,,,,,,,,,,,,,,,,,15901
"2,4-D acid",,,,,,,,,,,,,,,,,,,15902
Amo 1618,,,,,,,,,,,,,,,,,,,15903
C6H6O,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,3.0,,6.5,23.0,,,15904
C6H6O,peroxidase,,,,,,,,,TMB+H2O2,0.1,1.0,3.0,,6.5,23.0,,,15905
,glutathione peroxidase,,,,,,,,,H2O2+GSH,,,1.5,,7.0,37.0,,,15906
,peroxidase,,,,,poly(ethylene glycol),,,,guaiacol + H2O2,,,3.0,,6.0,30.0,,,15907
,glutathione peroxidase,,,,,,,,,,,,,,,,,,15908
,glutathione peroxidase,,,,,,,,,,,,,,,,,,15909
,glutathione peroxidase,,,,,,,,,,,,,,,,,,15910
,glutathione peroxidase,,,,,,,,,,,,,,,,,,15911
,glutathione peroxidase,,,,,,,,,,,,,,,,,,15912
,peroxidase,,,,,,,,,TMB+H2O2,,,,,8.0,20.0,,,15913
,peroxidase,,,,,,,,,TMB+H2O2,,,,,7.4,23.0,,,15914
MoS2,peroxidase,sheet,75.0,75.0,75.0,,,2.9755,9.3301e-05,TMB+H2O2,,,0.2,0.005,4,37.0,-19.2,,15915
MoS2,peroxidase,sheet,75.0,75.0,75.0,,,0.0058,1.2095e-05,H2O2+TMB,,,0.4,0.005,4,37.0,-19.2,,15916
MoS2,peroxidase,sheet,75.0,75.0,75.0,,,0.6518,0.000105474,TMB+H2O2,,,0.2,0.005,4,37.0,-36.0,,15917
MoS2,peroxidase,sheet,75.0,75.0,75.0,,,0.0348,5.8955e-05,H2O2+TMB,,,0.4,0.005,4,37.0,-36.0,,15918
