doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.1002.clen.201600077,mistral,mistral-small-latest,./prompts/prompt4.txt,7380,30349,330,1216,HRP-GCS,peroxidase,,spherical,,,,,,,,,,,,,200 nm,200.0,,,,,,,,,,,,,,,,,,,2 mM,2.0,7,25 °C,"[""HRP"", ""glucose"", ""ammonium hydroxide"", ""glutaraldehyde"", ""1-(3-dimethylaminopropyl)-3-ethylcarbodiimide hydrochloride"", ""phenol"", ""paracetamol"", ""catechol"", ""p-chlorophenol"", ""2,4-dichlorophenol"", ""4-methoxyphenol"", ""bisphenol A"", ""4-aminoantipyrine"", ""hydrogen peroxide""]",,,TMB+H2O2
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""dithiothreitol"", ""ascorbate"", ""FeCl3"", ""Hepes-NaOH"", ""Prx VI"", ""hCyP-A""]",,,DTT+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""ascorbate"", ""FeCl3"", ""Hepes-NaOH"", ""Prx VI"", ""hCyP-A""]",,,ascorbate+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""DTT"", ""FeCl3"", ""Hepes-NaOH"", ""Prx I"", ""hCyP-A""]",,,DTT+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""DTT"", ""FeCl3"", ""Hepes-NaOH"", ""Prx II"", ""hCyP-A""]",,,DTT+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""DTT"", ""FeCl3"", ""Hepes-NaOH"", ""Prx III"", ""hCyP-A""]",,,DTT+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""DTT"", ""FeCl3"", ""Hepes-NaOH"", ""Prx IV"", ""hCyP-A""]",,,DTT+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""DTT"", ""FeCl3"", ""Hepes-NaOH"", ""Prx V"", ""hCyP-A""]",,,DTT+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""ascorbate"", ""FeCl3"", ""Hepes-NaOH"", ""Prx II"", ""hCyP-A""]",,,ascorbate+FeCl3
10.1074.jbc.M101822200,mistral,mistral-small-latest,./prompts/prompt4.txt,15119,45156,2479,8365,,peroxidase,,,,,,,,,,,,,,,,,,,~10 µM,0.01,,,,,,,,,,,,,,,10 mM,10.0,7.0,30 °C,"[""glutamine synthetase"", ""ascorbate"", ""FeCl3"", ""Hepes-NaOH"", ""Prx VI"", ""hCyP-A""]",,,ascorbate+FeCl3
10.1016.0038-0717(79)90119-6,mistral,mistral-small-latest,./prompts/prompt4.txt,9166,32547,519,1808,,peroxidase,,,,,,,,,,,,,,,,,,,34 µM,0.034,,,,,,,,,,,,,,,0.1 M,100.0,5.0,20 °C,"[""Humic acid"", ""Fulvic acid"", ""Polymaleic acid"", ""p-Coumaric acid"", ""p-Hydroxybenzoic acid""]",,,o-dianisidine+H2O2
10.1016.0038-0717(79)90119-6,mistral,mistral-small-latest,./prompts/prompt4.txt,9166,32547,519,1808,,peroxidase,,,,,,,,,,,,,,,,,,,3 mM,3.0,,,,,,,,,,,,,,,0.1 M,100.0,5.0,20 °C,"[""Humic acid"", ""Fulvic acid"", ""Polymaleic acid"", ""p-Coumaric acid"", ""p-Hydroxybenzoic acid""]",,,guaiacol+H2O2
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 °C,"[""Diselenide 5"", ""Bromine"", ""Silver trifluoromethanesulfonate"", ""Dichloromethane"", ""Methanol"", ""Ethyl acetate"", ""Benzene"", ""Hexanes""]",,,BnSH + TBHP
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034 mmol,,0.17 mmol,,,23 °C,"[""Selenenamide 6"", ""Phenylmethanethiol"", ""Deuteriochloroform"", ""Naphthalene"", ""Dichloromethane""]",,,BnSH + TBHP
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20 mmol,,,,,,"[""Selenenyl sulfide 8"", ""Phenylmethanethiol"", ""Deuteriochloroform""]",,,BnSH + TBHP
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 mmol,,0.36 mmol,,,,"[""Selenenyl sulfide 8"", ""TBHP"", ""Deuteriochloroform""]",,,TBHP + BnSH
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027 mmol,,0.029 mmol,,,,"[""Selenenyl sulfide 8"", ""(4-methoxyphenyl)methanethiol"", ""Deuteriochloroform"", ""Water""]",,,BnSH + TBHP
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034 mmol,,0.17 mmol,,,23 °C,"[""Selenenyl sulfide 8"", ""Phenylmethanethiol"", ""TBHP"", ""Dichloromethane"", ""Naphthalene""]",,,BnSH + TBHP
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007 mmol,,,,,,"[""Diselenide 5"", ""Phenylmethanethiol"", ""Deuteriochloroform""]",,,BnSH + TBHP
10.1021.ja963602k,mistral,mistral-small-latest,./prompts/prompt4.txt,10661,33034,2052,7175,C20H29NO2SSe,Glutathione Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007 mmol,,0.007 mmol,,,,"[""Diselenide 5"", ""TBHP"", ""Deuteriochloroform""]",,,TBHP + BnSH
10.1007.s00709-011-0350-x,mistral,mistral-small-latest,./prompts/prompt4.txt,2087,46952,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1046.j.1365-2265.2002.01657.x,mistral,mistral-small-latest,./prompts/prompt4.txt,6560,23714,226,812,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""null""]",,,
10.3390.catal9060517,mistral,mistral-small-latest,./prompts/prompt4.txt,12410,44779,2880,8207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1016.j.cej.2020.125574,mistral,mistral-small-latest,./prompts/prompt4.txt,16505,58612,903,2898,FePOs,peroxidase,amorphous,spherical,,,,,,,,,,,,,420-430 nm,425.0,420.0,430.0,~0.01 mM,0.01,~0.001 mM/s,0.001,,,,,,,0.01 mM,0.01,0.5 mM,0.5,50 µg/mL,0.05,7.5 mM,7.5,6.4-7.4,25 °C,"[""Urea"", ""Sodium lauryl sulfate"", ""Ferric sulfate"", ""Phosphoric acid"", ""Deionized water""]",,Sodium lauryl sulfate,TMB+H2O2
10.1016.j.cej.2020.125574,mistral,mistral-small-latest,./prompts/prompt4.txt,16505,58612,903,2898,FePOs,catalase,amorphous,spherical,,,,,,,,,,,,,420-430 nm,425.0,420.0,430.0,~0.01 mM,0.01,~0.001 mM/s,0.001,,,,,,,0.01 mM,0.01,75 mM,75.0,100 µg/mL,0.1,,,6.4-7.4,25 °C,"[""Urea"", ""Sodium lauryl sulfate"", ""Ferric sulfate"", ""Phosphoric acid"", ""Deionized water""]",,Sodium lauryl sulfate,H2O2
10.1016.j.cej.2020.125574,mistral,mistral-small-latest,./prompts/prompt4.txt,16505,58612,903,2898,FePOs,superoxide dismutase,amorphous,spherical,,,,,,,,,,,,,420-430 nm,425.0,420.0,430.0,~0.01 mM,0.01,~0.001 mM/s,0.001,,,,,,,0.01 mM,0.01,0.15 mM,0.15,50 µg/mL,0.05,,,8.2,25 °C,"[""Urea"", ""Sodium lauryl sulfate"", ""Ferric sulfate"", ""Phosphoric acid"", ""Deionized water""]",,Sodium lauryl sulfate,pyrogallol
10.1039.d0cc06692c,mistral,mistral-small-latest,./prompts/prompt4.txt,14889,45676,556,1761,Fe@BC,peroxidase,,spherical,,,,,,,,,,,,,,,,,1 mM,1.0,8.74 * 10^-8 M/s,8.74e-05,,,+21.7 mV,21.7,,,0.8 mM,0.8,,,10 µg/mL,0.01,10 mM,10.0,3.5,37 °C,"[""FeCl2"", ""NaBH4"", ""NaOH"", ""anhydrous ethanol""]",,,TMB+H2O2
10.1039.d0cc06692c,mistral,mistral-small-latest,./prompts/prompt4.txt,14889,45676,556,1761,Fe@BC,peroxidase,,spherical,,,,,,,,,,,,,,,,,0.7 mM,0.7,3.11 * 10^-8 M/s,3.1100000000000004e-05,,,+21.7 mV,21.7,,,0.7 mM,0.7,,,10 µg/mL,0.01,0.8 mM,0.8,3.5,37 °C,"[""FeCl2"", ""NaBH4"", ""NaOH"", ""anhydrous ethanol""]",,,H2O2+TMB
10.1021.ja045964v,mistral,mistral-small-latest,./prompts/prompt4.txt,25294,75701,1470,4626,"2, 2’-ditellurobis(2-deoxy-â-cyclodextrin)",peroxidase,,,,,,,,,,,,,,,,,,,6.00 × 10^3 M^-1 min^-1,,300 min^-1,,,,,,,,~2.46 mM,2.46,~50.0 mM,50.0,1 µM,,~18 µM,0.018000000000000002,5.5,25 °C,"[""\u00e2-cyclodextrin"", ""p-Toluenesulfonyl chloride"", ""Iodoacetate acid"", ""Tert-butyl hydroperoxide (t-BuOOH)"", ""Reduced glutathione (GSH)"", ""1, 4-Dithio-DL-threitol (DTT)"", ""Cumene hydroperoxide (CuOOH)"", ""1-adamantaneethanol"", ""Diphenyl ditelluride (PhTeTePh)"", ""Sodium hydroborate"", ""Diphenyl diselenide (PhSeSePh)"", ""2-phenyl-1, 2-benzoisoselenazol-3(2H)-one (ebselen)"", ""5, 5\u2019-dithiolbis(2-nitrobenzoic acid)"", ""\u00e2-nicotinamide adenine dinucleatide phosphate reduced form (NADPH)"", ""Glutathione reductase"", ""Sephadex G-15""]",,,H2O2 + ArSH
10.1021.ja045964v,mistral,mistral-small-latest,./prompts/prompt4.txt,25294,75701,1470,4626,"2, 2’-ditellurobis(2-deoxy-â-cyclodextrin)",peroxidase,,,,,,,,,,,,,,,,,,,1.64 × 10^4 M^-1 min^-1,,900 min^-1,,,,,,,,~5.1 mM,5.1,~100.0 mM,100.0,1 µM,,~18 µM,0.018000000000000002,5.5,25 °C,"[""\u00e2-cyclodextrin"", ""p-Toluenesulfonyl chloride"", ""Iodoacetate acid"", ""Tert-butyl hydroperoxide (t-BuOOH)"", ""Reduced glutathione (GSH)"", ""1, 4-Dithio-DL-threitol (DTT)"", ""Cumene hydroperoxide (CuOOH)"", ""1-adamantaneethanol"", ""Diphenyl ditelluride (PhTeTePh)"", ""Sodium hydroborate"", ""Diphenyl diselenide (PhSeSePh)"", ""2-phenyl-1, 2-benzoisoselenazol-3(2H)-one (ebselen)"", ""5, 5\u2019-dithiolbis(2-nitrobenzoic acid)"", ""\u00e2-nicotinamide adenine dinucleatide phosphate reduced form (NADPH)"", ""Glutathione reductase"", ""Sephadex G-15""]",,,t-BuOOH + ArSH
10.1021.ja045964v,mistral,mistral-small-latest,./prompts/prompt4.txt,25294,75701,1470,4626,"2, 2’-ditellurobis(2-deoxy-â-cyclodextrin)",peroxidase,,,,,,,,,,,,,,,,,,,1.61 × 10^5 M^-1 min^-1,,3710 min^-1,,,,,,,,~3.1 mM,3.1,~50.0 mM,50.0,1 µM,,~83 µM,0.083,5.5,25 °C,"[""\u00e2-cyclodextrin"", ""p-Toluenesulfonyl chloride"", ""Iodoacetate acid"", ""Tert-butyl hydroperoxide (t-BuOOH)"", ""Reduced glutathione (GSH)"", ""1, 4-Dithio-DL-threitol (DTT)"", ""Cumene hydroperoxide (CuOOH)"", ""1-adamantaneethanol"", ""Diphenyl ditelluride (PhTeTePh)"", ""Sodium hydroborate"", ""Diphenyl diselenide (PhSeSePh)"", ""2-phenyl-1, 2-benzoisoselenazol-3(2H)-one (ebselen)"", ""5, 5\u2019-dithiolbis(2-nitrobenzoic acid)"", ""\u00e2-nicotinamide adenine dinucleatide phosphate reduced form (NADPH)"", ""Glutathione reductase"", ""Sephadex G-15""]",,,CuOOH + ArSH
10.1038.srep05191,mistral,mistral-small-latest,./prompts/prompt4.txt,11032,38240,566,1899,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mM,2.0,4.3,25 °C,"[""3,3',5,5'-tetramethylbenzidine (TMB)"", ""hydrogen peroxide (H2O2)"", ""citric acid"", ""Na2HPO4"", ""sulfuric acid""]",,,TMB+H2O2
10.1038.srep05191,mistral,mistral-small-latest,./prompts/prompt4.txt,11032,38240,566,1899,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 mM,0.32,4.3,25 °C,"[""3,3',5,5'-tetramethylbenzidine (TMB)"", ""hydrogen peroxide (H2O2)"", ""citric acid"", ""Na2HPO4"", ""sulfuric acid""]",,,H2O2+TMB
10.1021.acs.nanolett.8b04729,mistral,mistral-small-latest,./prompts/prompt4.txt,27529,94512,1243,3883,Fe4[Fe(CN)6]3,peroxidase,,spherical,,,,,,,,,,,,,65 nm,65.0,,,~0.05 mM,0.05,~0.0001 mM/s,0.0001,,,-26.0 mV,-26.0,,,0.01 mM,0.01,0.1 mM,0.1,6 µg/mL,0.006,30% H2O2,,3.6,25 °C,"[""bismuth nitrate"", ""potassium ferricyanide"", ""polyvinylpyrrolidone (PVP)"", ""hydrochloric acid (1 M)""]",polyvinylpyrrolidone (PVP),,TMB+H2O2
10.1021.acs.nanolett.8b04729,mistral,mistral-small-latest,./prompts/prompt4.txt,27529,94512,1243,3883,Fe4[Fe(CN)6]3,catalase,,spherical,,,,,,,,,,,,,65 nm,65.0,,,~0.05 mM,0.05,~0.0001 mM/s,0.0001,,,-26.0 mV,-26.0,,,0.01 mM,0.01,0.1 mM,0.1,0.2 mL,,,,7.4,25 °C,"[""bismuth nitrate"", ""potassium ferricyanide"", ""polyvinylpyrrolidone (PVP)"", ""hydrochloric acid (1 M)""]",polyvinylpyrrolidone (PVP),,H2O2
10.1021.acs.nanolett.8b04729,mistral,mistral-small-latest,./prompts/prompt4.txt,27529,94512,1243,3883,Fe4[Fe(CN)6]3,superoxide dismutase,,spherical,,,,,,,,,,,,,65 nm,65.0,,,~0.05 mM,0.05,~0.0001 mM/s,0.0001,,,-26.0 mV,-26.0,,,0.01 mM,0.01,0.1 mM,0.1,,,,,,25 °C,"[""bismuth nitrate"", ""potassium ferricyanide"", ""polyvinylpyrrolidone (PVP)"", ""hydrochloric acid (1 M)""]",polyvinylpyrrolidone (PVP),,O2-
10.1021.acs.nanolett.8b04729,mistral,mistral-small-latest,./prompts/prompt4.txt,27529,94512,1243,3883,Fe4[Fe(CN)6]3,peroxidase,,spherical,,,,,,,,,,,,,65 nm,65.0,,,~0.05 mM,0.05,~0.0001 mM/s,0.0001,,,-26.0 mV,-26.0,,,0.01 mM,0.01,0.1 mM,0.1,6 µg/mL,0.006,30% H2O2,,3.6,25 °C,"[""bismuth nitrate"", ""potassium ferricyanide"", ""polyvinylpyrrolidone (PVP)"", ""hydrochloric acid (1 M)""]",polyvinylpyrrolidone (PVP),,ABTS+H2O2
10.1007.bf03356197,mistral,mistral-small-latest,./prompts/prompt4.txt,9209,32853,287,974,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 mM,100.0,6.0,25 °C,"[""hexane"", ""ethyl acetate"", ""Tris-HCl buffer"", ""linoleic acid"", ""Tween 20"", ""guaiacol"", ""H2O2""]",,Tween 20,H2O2+guaiacol
10.1007.bf00218785,mistral,mistral-small-latest,./prompts/prompt4.txt,6429,25183,239,797,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001% H2O2,,7.2,20-25 °C,"[""H2O2"", ""DAB""]",,,H2O2+DAB
10.1159.000112209,mistral,mistral-small-latest,./prompts/prompt4.txt,8442,30146,451,1551,,cellular glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25 °C,[],,,H2O2+NADPH
10.1159.000112209,mistral,mistral-small-latest,./prompts/prompt4.txt,8442,30146,451,1551,,catalase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25 °C,[],,,H2O2
10.1111.jpn.12677,mistral,mistral-small-latest,./prompts/prompt4.txt,12165,41398,304,1113,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mM,2.5,,37 °C,"[""H2O"", ""potassium phosphate dibasic"", ""potassium phosphate monobasic"", ""EDTA"", ""leupeptin"", ""phenylmethylsulfonyl fluoride"", ""glutathione"", ""glutathione reductase"", ""NADPH"", ""tert-butyl hydroperoxide""]",,,T-Butyl+H2O2
10.1016.0048-9697(88)90434-2,mistral,mistral-small-latest,./prompts/prompt4.txt,2536,9597,426,1504,,peroxidase,,,,,,,,,,,,,,,,,,,,,81.61 nmol/min/mg protein,,,,,,,,,,,,,,,,,,[],,,H2O2+GSH
10.1016.0048-9697(88)90434-2,mistral,mistral-small-latest,./prompts/prompt4.txt,2536,9597,426,1504,,peroxidase,,,,,,,,,,,,,,,,,,,,,70.76 nmol/min/mg protein,,,,,,,,,,,,,,,,,,[],,,H2O2+GSH
10.1016.j.talanta.2019.06.003,mistral,mistral-small-latest,./prompts/prompt4.txt,7896,27771,588,1764,WO3,peroxidase,,nanosheets,20-40 nm,30.0,20.0,40.0,,,,,6-7 nm,6.5,6.0,7.0,,,,,1.26 mol/L,1260.0,3.00×10^-8 mol/L/s,3.0000000000000004e-05,,,-28.4 mV,-28.4,,,1 μmol/L,0.001,180 μmol/L,0.18,1.6 μg/mL,0.0016,1.4 mmol/L,1.4,2.0,25 °C,"[""Na2WO4\u00b72H2O"", ""HNO3"", ""H2O""]",,,H2O2+TMB
10.1016.j.talanta.2019.06.003,mistral,mistral-small-latest,./prompts/prompt4.txt,7896,27771,588,1764,WO3,peroxidase,,nanosheets,20-40 nm,30.0,20.0,40.0,,,,,6-7 nm,6.5,6.0,7.0,,,,,0.0106 mol/L,10.6,1.53×10^-8 mol/L/s,1.5300000000000003e-05,,,-28.4 mV,-28.4,,,0.06 mmol/L,0.06,,,1.6 μg/mL,0.0016,0.06 mmol/L,0.06,2.0,25 °C,"[""Na2WO4\u00b72H2O"", ""HNO3"", ""H2O""]",,,TMB+H2O2
10.1038.s41467-021-22286-x,mistral,mistral-small-latest,./prompts/prompt4.txt,14883,54397,649,1984,PtCo@G,oxidase,,spherical,,,,,,,,,,,,,3 nm,3.0,,,~0.02 mM,0.02,~0.0001 mM/s,0.0001,,,-20 mV,-20.0,,,0.001 mM,0.001,0.01 mM,0.01,70 µg/mL,0.07,,,4,37 °C,"[""fumed silica"", ""chloroplatinic acid"", ""Co(NO3)2\u00b76H2O"", ""methanol"", ""hydrofluoric acid"", ""C 18-PEG""]",C 18-PEG,,TMB
10.1038.s41467-021-22286-x,mistral,mistral-small-latest,./prompts/prompt4.txt,14883,54397,649,1984,PtCo@G,peroxidase,,spherical,,,,,,,,,,,,,3 nm,3.0,,,~0.02 mM,0.02,~0.0001 mM/s,0.0001,,,-20 mV,-20.0,,,0.001 mM,0.001,0.01 mM,0.01,70 µg/mL,0.07,100 µM,0.1,4,37 °C,"[""fumed silica"", ""chloroplatinic acid"", ""Co(NO3)2\u00b76H2O"", ""methanol"", ""hydrofluoric acid"", ""C 18-PEG""]",C 18-PEG,,H2O2+TMB
10.1104.pp.111.3.941,mistral,mistral-small-latest,./prompts/prompt4.txt,9572,32525,268,934,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 mM,0.5,4.0 - 5.5,25 °C,"[""ferulic acid"", ""hydrogen peroxide"", ""sodium-phosphate buffer"", ""protein extract""]",,,ferulic acid + H2O2
10.1016.j.talanta.2019.120621,mistral,mistral-small-latest,./prompts/prompt4.txt,9604,36743,811,2744,PtCu,peroxidase,,spherical,,,,,,,,,,,,,25 nm,25.0,,,~0.02 mM,0.02,~0.0001 mM/s,0.0001,,,,,,,0.00004 mM,4e-05,0.004 mM,0.004,20 µL,,30 mM,30.0,4,25 °C,"[""ascorbic acid"", ""poly(vinylpyrrolidone)"", ""potassium permanganate"", ""puerarin"", ""luteolin"", ""nobiletin"", ""3,3\u2019,5,5\u2019-tetramethylbenzidine"", ""hydrazine hydrate"", ""H2O2"", ""sodium acetate"", ""copper chloride dihydrate"", ""chloroplatinic acid hexahydrate"", ""graphite powder"", ""poly sodium styrene sulfonate"", ""3-aminopropyl triethoxysilane"", ""tetraethyl orthosilicate""]",poly(vinylpyrrolidone),ascorbic acid,TMB+H2O2
10.1016.j.talanta.2019.120621,mistral,mistral-small-latest,./prompts/prompt4.txt,9604,36743,811,2744,PtCu,peroxidase,,spherical,,,,,,,,,,,,,25 nm,25.0,,,~0.02 mM,0.02,~0.0001 mM/s,0.0001,,,,,,,0.003 mM,0.003,0.03 mM,0.03,20 µL,,0.004 mM,0.004,4,25 °C,"[""ascorbic acid"", ""poly(vinylpyrrolidone)"", ""potassium permanganate"", ""puerarin"", ""luteolin"", ""nobiletin"", ""3,3\u2019,5,5\u2019-tetramethylbenzidine"", ""hydrazine hydrate"", ""H2O2"", ""sodium acetate"", ""copper chloride dihydrate"", ""chloroplatinic acid hexahydrate"", ""graphite powder"", ""poly sodium styrene sulfonate"", ""3-aminopropyl triethoxysilane"", ""tetraethyl orthosilicate""]",poly(vinylpyrrolidone),ascorbic acid,H2O2+TMB
10.1021.acssuschemeng.0c07431,mistral,mistral-small-latest,./prompts/prompt4.txt,17870,58964,787,2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1002.fedr.200811188,mistral,mistral-small-latest,./prompts/prompt4.txt,8244,29389,463,1554,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 mM,28.0,6.1,2 °C,[],,,H2O2+guaiacol
10.1002.fedr.200811188,mistral,mistral-small-latest,./prompts/prompt4.txt,8244,29389,463,1554,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 mM,16.0,6.0,2 °C,[],,,H2O2+syringaldazine
10.1507.endocrj.EJ17-0194,mistral,mistral-small-latest,./prompts/prompt4.txt,11111,39316,474,1622,TPO,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mM,2.0,,25 °C,"[""Amplex Red reagent"", ""H2O2""]",,,H2O2+Amplex Red
10.1507.endocrj.EJ17-0194,mistral,mistral-small-latest,./prompts/prompt4.txt,11111,39316,474,1622,TPO,peroxidase,,,,,,,,,,,,,,,,,,,~0.0001 mM,0.0001,~0.0001 mM/s,0.0001,,,,,,,,,,,,,2 mM,2.0,,25 °C,"[""Amplex Red reagent"", ""H2O2""]",,,Amplex Red+H2O2
10.1016.j.colsurfb.2020.111553,mistral,mistral-small-latest,./prompts/prompt4.txt,9498,36775,609,2012,Au/CDs,peroxidase,,chain-like,,,,,,,,,,,,,,,,,~0.1 mM,0.1,~0.1 mM/s,0.1,,,,,,,20 μM,0.02,100 μM,0.1,58 μL,,200 mM,200.0,6,37 °C,"[""Hydrogen tetrachloroauratetri hydrate (HAuCl4)"", ""TMB"", ""Trisodium citrate"", ""Urea"", ""p-phenylenediamine"", ""Glucose"", ""Hydrogen peroxide (H2O2)""]",,,TMB+H2O2
10.1016.j.colsurfb.2020.111553,mistral,mistral-small-latest,./prompts/prompt4.txt,9498,36775,609,2012,Au/CDs,peroxidase,,chain-like,,,,,,,,,,,,,,,,,~0.1 mM,0.1,~0.1 mM/s,0.1,,,,,,,20 μM,0.02,100 μM,0.1,58 μL,,200 mM,200.0,6,37 °C,"[""Hydrogen tetrachloroauratetri hydrate (HAuCl4)"", ""TMB"", ""Trisodium citrate"", ""Urea"", ""p-phenylenediamine"", ""Glucose"", ""Hydrogen peroxide (H2O2)""]",,,H2O2+TMB
10.1177.096032719201100507,mistral,mistral-small-latest,./prompts/prompt4.txt,6392,24296,516,1880,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,37 °C,"[""tert. butyl hydroperoxide"", ""glutathione reductase"", ""potassium phosphate buffer"", ""reduced glutathione"", ""NADPH"", ""deionized water""]",,,tert. butyl hydroperoxide
10.1177.096032719201100507,mistral,mistral-small-latest,./prompts/prompt4.txt,6392,24296,516,1880,,catalase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,25 °C,"[""hydrogen peroxide"", ""phosphate buffer"", ""deionized water""]",,,H2O2
10.1039.d0an00930j,mistral,mistral-small-latest,./prompts/prompt4.txt,16421,51255,1344,3847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
